year,sales_use_total,frozen_base,sales_use_increment,let_revenue,liquor_drink_tax,apsk_pledged,alcohol_gaming_total,olathe_increment,wyandotte_ug_increment,local_add_in_total,total_available,cumulative_available
1,684700000.0,668000000,16700000.0,17748000.0,8364000.0,6655500.0,32767500.0,2306131.7650000006,3747396.694999993,6053528.459999993,55521028.45999999,55521028.45999999
2,701817500.0,668000000,33817500.0,18102960.0,8531280.0,6788610.0,33422850.0,4692978.141774997,7625952.274324983,12318930.41609998,79559280.41609998,135080308.87609997
3,719362937.4999998,668000000,51362937.49999976,18465019.200000003,8701905.600000001,6924382.200000001,34091307.00000001,7163364.141737103,11640257.298926353,18803621.440663457,104257865.94066322,239338174.8167632
4,737347010.9374996,668000000,69347010.93749964,18834319.584,8875943.712,7062869.844,34773133.13999999,9720213.651697904,15795062.99938877,25515276.651086673,129635420.7285863,368973595.5453495
5,755780686.2109371,668000000,87780686.21093714,19211005.97568,9053462.586240001,7204127.24088,35468595.8028,12366552.894507319,20095286.899367347,32461839.793874666,155711121.80761182,524684717.3529613
6,774675203.3662105,668000000,106675203.36621046,19595226.095193602,9234531.837964801,7348209.785697601,36177967.71885601,15105514.01081507,24546018.6358452,39651532.64666027,182504703.73172674,707189421.0846881
7,794042083.4503658,668000000,126042083.45036578,19987130.61709747,9419222.474724097,7495173.981411552,36901527.07323312,17940338.766193584,29152525.98309976,47092864.74929334,210036475.27289224,917225896.3575803
8,813893135.5366247,668000000,145893135.53662467,20386873.229439422,9607606.924218578,7645077.461039784,37639557.614697784,20874382.388010353,33920261.08750826,54794643.475518614,238327336.62684107,1155553232.9844213
9,834240463.9250404,668000000,166240463.92504036,20794610.694028214,9799759.06270295,7797979.01026058,38392348.76699174,23911117.536590725,38854866.92057106,62765984.457161784,267398797.14919388,1422952030.133615
10,855096475.5231662,668000000,187096475.52316618,21210502.90790878,9995754.24395701,7953938.5904657915,39160195.74233158,27054138.415371373,43962183.957791,71016322.37316237,297272993.63866013,1720225023.7722752
11,876473887.4112453,668000000,208473887.41124535,21634712.966066953,10195669.32883615,8113017.362275108,39943399.65717821,30307165.024909377,49248257.09131369,79555422.11622307,327972709.1846466,2048197732.9569218
12,898385734.5965265,668000000,230385734.5965265,22067407.225388292,10399582.715412874,8275277.709520609,40742267.650321774,33674047.565781206,54719342.78450966,88393390.35029086,359521392.5971391,2407719125.554061
13,920845377.9614394,668000000,252845377.96143937,22508755.369896058,10607574.369721131,8440783.263711022,41557113.00332821,37158770.995583534,60381916.476967484,97540687.47255102,391943178.43731856,2799662303.9913797
14,943866512.4104755,668000000,275866512.4104755,22958930.47729398,10819725.857115554,8609598.928985242,42388255.26339477,40765459.74542895,66242680.24866131,107008139.99409026,425262907.6679605,3224925211.6593404
15,967463175.2207372,668000000,299463175.2207372,23418109.08683986,11036120.374257864,8781790.907564947,43236020.36866267,44498382.60151896,72308570.75236446,116806953.35388342,459506148.9432833,3684431360.602624
16,991649754.6012555,668000000,323649754.60125554,23886471.268576656,11256842.781743022,8957426.725716246,44100740.77603593,48361957.757572114,78586767.4236972,126948725.18126932,494699220.5585607,4179130581.161185
17,1016440998.4662868,668000000,348440998.4662868,24364200.69394819,11481979.637377884,9136575.260230573,44982755.591556646,52360758.04408711,85084700.97852659,137445459.0226137,530869213.08045715,4709999794.241642
18,1041852023.427944,668000000,373852023.42794394,24851484.70782716,11711619.230125442,9319306.765435183,45882410.70338778,56499516.34063016,91810062.207775,148309578.54840517,568044012.6797369,5278043806.921379
19,1067898324.0136424,668000000,399898324.01364243,25348514.4019837,11945851.61472795,9505692.900743887,46800058.91745554,60783131.17755221,98770811.08004713,159553942.25759935,606252325.1886973,5884296132.110077
20,1094595782.1139834,668000000,426595782.1139834,25855484.690023374,12184768.64702251,9695806.758758767,47736060.095804654,65216672.53376652,105975186.16284874,171191858.69661528,645523700.9064033,6529819833.01648
21,1121960676.666833,668000000,453960676.6668329,26372594.38382384,12428464.019962959,9889722.89393394,48690781.297720745,69805387.83744836,113431714.37354845,183237102.2109968,685888560.1755505,7215708393.192031
22,1150009693.5835037,668000000,482009693.5835037,26900046.27150032,12677033.30036222,10087517.35181262,49664596.923675165,74554708.176759,121149221.07162258,195703929.24838158,727378219.7555605,7943086612.947592
23,1178759935.9230912,668000000,510759935.9230912,27438047.196930327,12930573.966369465,10289267.698848873,50657888.862148665,79470254.72794557,129136840.50412938,208607095.23207495,770024920.0173148,8713111532.964907
24,1208228934.3211682,668000000,540228934.3211682,27986808.140868936,13189185.445696855,10495053.052825851,51671046.639391646,84557845.40842366,137404026.6167739,221961872.02519757,813861852.9857574,9526973385.950665
25,1238434657.6791973,668000000,570434657.6791973,28546544.303686313,13452969.154610792,10704954.113882368,52704467.572179474,89823501.76271847,145960564.24336097,235784066.00607944,858923191.2574562,10385896577.20812
26,1269395524.1211772,668000000,601395524.1211772,29117475.18976004,13722028.537703007,10919053.196160015,53758556.92362307,95273456.08941361,154816580.6868786,250090036.7762922,905244117.8210925,11291140695.029213
27,1301130412.2242064,668000000,633130412.2242064,29699824.69355524,13996469.108457068,11137434.260083215,54833728.06209552,100914158.81754306,163982557.70591927,264896716.52346233,952860856.8097643,12244001551.838978
28,1333658672.5298116,668000000,665658672.5298116,30293821.187426347,14276398.49062621,11360182.94528488,55930402.62333744,106752286.14115706,173469343.92062646,280221630.06178355,1001810705.2149326,13245812257.053911
29,1367000139.343057,668000000,699000139.3430569,30899697.611174874,14561926.460438734,11587386.604190577,57049010.67580418,112794747.92109755,183288167.65284836,296082915.5739459,1052132065.5928069,14297944322.646719
30,1401175142.826633,668000000,733175142.826633,31517691.563398372,14853164.98964751,11819134.33627439,58189990.88932027,119048695.86333597,193450650.21569806,312499346.07903403,1103864479.7949872,15401808802.441706
