year,sales_use_total,frozen_base,sales_use_increment,alcohol_gaming,local_add_in,total_available,interest_paid,interest_capitalized,principal_paid,debt_service,ending_principal,coverage_ratio,in_cap_period
1,684700000.0,668000000,16700000.0,32767500.0,6053528.459999993,55521028.45999999,55521028.45999999,34478971.54000001,0.0,55521028.45999999,1834478971.54,0.432203081880806,True
2,701817500.0,668000000,33817500.0,33422850.0,12318930.41609998,79559280.41609998,79559280.41609998,12164668.160900027,0.0,79559280.41609998,1846643639.7009,0.6193286965645964,True
3,719362937.4999998,668000000,51362937.49999976,34091307.00000001,18803621.440663457,104257865.94066322,92332181.98504502,0.0,0.0,92332181.98504502,1846643639.7009,0.8115946735809181,True
4,737347010.9374996,668000000,69347010.93749964,34773133.13999999,25515276.651086673,129635420.7285863,92332181.98504502,0.0,0.0,92332181.98504502,1846643639.7009,1.0091460823744605,True
5,755780686.2109371,668000000,87780686.21093714,35468595.8028,32461839.793874666,155711121.80761182,92332181.98504502,0.0,0.0,92332181.98504502,1846643639.7009,1.2121322063919024,True
6,774675203.3662105,668000000,106675203.36621046,36177967.71885601,39651532.64666027,182504703.73172674,92332181.98504502,0.0,36128328.33429538,128460510.3193404,1810515311.3666048,1.4207066691393153,False
7,794042083.4503658,668000000,126042083.45036578,36901527.07323312,47092864.74929334,210036475.27289224,90525765.56833024,0.0,37934744.75101015,128460510.3193404,1772580566.6155946,1.6350275641188246,False
8,813893135.5366247,668000000,145893135.53662467,37639557.614697784,54794643.475518614,238327336.62684107,88629028.33077973,0.0,39831481.98856066,128460510.3193404,1732749084.627034,1.8552575887670255,False
9,834240463.9250404,668000000,166240463.92504036,38392348.76699174,62765984.457161784,267398797.14919388,86637454.2313517,0.0,41823056.08798869,128460510.3193404,1690926028.5390453,2.0815641825216664,False
10,855096475.5231662,668000000,187096475.52316618,39160195.74233158,71016322.37316237,297272993.63866013,84546301.42695227,0.0,43914208.89238812,128460510.3193404,1647011819.6466572,2.314119669147104,False
11,876473887.4112453,668000000,208473887.41124535,39943399.65717821,79555422.11622307,327972709.1846466,82350590.98233287,0.0,46109919.33700752,128460510.3193404,1600901900.3096497,2.5531014034533897,False
12,898385734.5965265,668000000,230385734.5965265,40742267.650321774,88393390.35029086,359521392.5971391,80045095.01548249,0.0,48415415.30385791,128460510.3193404,1552486485.005792,2.7986919225480555,False
13,920845377.9614394,668000000,252845377.96143937,41557113.00332821,97540687.47255102,391943178.43731856,77624324.2502896,0.0,50836186.06905079,128460510.3193404,1501650298.936741,3.051079101764315,False
14,943866512.4104755,668000000,275866512.4104755,42388255.26339477,107008139.99409026,425262907.6679605,75082514.94683705,0.0,53377995.37250334,128460510.3193404,1448272303.5642378,3.3104563154139597,False
15,967463175.2207372,668000000,299463175.2207372,43236020.36866267,116806953.35388342,459506148.9432833,72413615.1782119,0.0,56046895.141128495,128460510.3193404,1392225408.4231093,3.5770226025180465,False
16,991649754.6012555,668000000,323649754.60125554,44100740.77603593,126948725.18126932,494699220.5585607,69611270.42115547,0.0,58849239.898184925,128460510.3193404,1333376168.5249243,3.8509828376735102,False
17,1016440998.4662868,668000000,348440998.4662868,44982755.591556646,137445459.0226137,530869213.08045715,66668808.42624622,0.0,61791701.893094175,128460510.3193404,1271584466.6318302,4.132547907218862,False
18,1041852023.427944,668000000,373852023.42794394,45882410.70338778,148309578.54840517,568044012.6797369,63579223.33159152,0.0,64881286.987748876,128460510.3193404,1206703179.6440814,4.421934890867508,False
19,1067898324.0136424,668000000,399898324.01364243,46800058.91745554,159553942.25759935,606252325.1886973,60335158.98220407,0.0,68125351.33713633,128460510.3193404,1138577828.306945,4.719367248982685,False
20,1094595782.1139834,668000000,426595782.1139834,47736060.095804654,171191858.69661528,645523700.9064033,56928891.415347256,0.0,71531618.90399313,128460510.3193404,1067046209.402952,5.02507501567364,False
21,1121960676.666833,668000000,453960676.6668329,48690781.297720745,183237102.2109968,685888560.1755505,53352310.4701476,0.0,75108199.8491928,128460510.3193404,991938009.5537591,5.33929499789856,False
22,1150009693.5835037,668000000,482009693.5835037,49664596.923675165,195703929.24838158,727378219.7555605,49596900.477687955,0.0,78863609.84165244,128460510.3193404,913074399.7121067,5.662270980765752,False
23,1178759935.9230912,668000000,510759935.9230912,50657888.862148665,208607095.23207495,770024920.0173148,45653719.98560534,0.0,82806790.33373505,128460510.3193404,830267609.3783717,5.994253939230877,False
24,1208228934.3211682,668000000,540228934.3211682,51671046.639391646,221961872.02519757,813861852.9857574,41513380.46891859,0.0,86947129.8504218,128460510.3193404,743320479.5279499,6.335502256394402,False
25,1238434657.6791973,668000000,570434657.6791973,52704467.572179474,235784066.00607944,858923191.2574562,37166023.9763975,0.0,91294486.3429429,128460510.3193404,652025993.1850071,6.68628194861017,False
26,1269395524.1211772,668000000,601395524.1211772,53758556.92362307,250090036.7762922,905244117.8210925,32601299.659250356,0.0,95859210.66009003,128460510.3193404,556166782.5249171,7.046866897622804,False
27,1301130412.2242064,668000000,633130412.2242064,54833728.06209552,264896716.52346233,952860856.8097643,27808339.126245856,0.0,100652171.19309454,128460510.3193404,455514611.3318226,7.417539089958808,False
28,1333658672.5298116,668000000,665658672.5298116,55930402.62333744,280221630.06178355,1001810705.2149326,22775730.56659113,0.0,105684779.75274926,128460510.3193404,349829831.5790733,7.798588863803578,False
